MINI8_10000	Test Loss: 1.525116, Acc: 0.934200
MINI8_20000	Test Loss: 1.513189, Acc: 0.947600
MINI8_30000	Test Loss: 1.513056, Acc: 0.944400
MINI8_40000	Test Loss: 1.508238, Acc: 0.952100
MINI8_50000	Test Loss: 1.505091, Acc: 0.953600
MINI8_60000	Test Loss: 1.512961, Acc: 0.946600

MINI7_10000	Test Loss: 1.493128, Acc: 0.970800
MINI7_20000	Test Loss: 1.489192, Acc: 0.972300
MINI7_30000	Test Loss: 1.484615, Acc: 0.978300
MINI7_40000	Test Loss: 1.482772, Acc: 0.980400
MINI7_50000	Test Loss: 1.483064, Acc: 0.978100
MINI7_60000	Test Loss: 1.482194, Acc: 0.980500

MINI6_10000	Test Loss: 1.495658, Acc: 0.970400
MINI6_20000	Test Loss: 1.485880, Acc: 0.977300
MINI6_30000	Test Loss: 1.485207, Acc: 0.978200
MINI6_40000	Test Loss: 1.482098, Acc: 0.979000
MINI6_50000	Test Loss: 1.482757, Acc: 0.980000
MINI6_60000	Test Loss: 1.481535, Acc: 0.979900

Mini1_10000 Test Loss: 1.484977, Acc: 0.977300
Mini1_20000 Test Loss: 1.482324, Acc: 0.978900
Mini1_30000 Test Loss: 1.479425, Acc: 0.981800
Mini1_40000 Test Loss: 1.477502, Acc: 0.982900
Mini1_50000 Test Loss: 1.475358, Acc: 0.984700
Mini1_60000 Test Loss: 1.473537, Acc: 0.988600

Mini2_10000 Test Loss: 1.487895, Acc: 0.976300
Mini2_20000 Test Loss: 1.480147, Acc: 0.981600
Mini2_30000 Test Loss: 1.480499, Acc: 0.980200
Mini2_40000 Test Loss: 1.477009, Acc: 0.983500
Mini2_50000 Test Loss: 1.476289, Acc: 0.984000
Mini2_60000 Test Loss: 1.473091, Acc: 0.987300

